Monthly_Spend_USD,Hours_Watched_Per_Week,Devices_Connected,Customer_Service_Tickets,Using_Student_Discount,Account_Status
12.9,19.7,4,0,false,Stay
15.58,13.9,5,0,false,Stay
15.73,12.8,2,2,false,Stay
14.18,11.0,2,2,false,Stay
17.48,9.9,3,0,false,Stay
12.35,15.9,5,2,false,Stay
12.09,15.2,2,0,false,Stay
12.72,10.7,4,1,true,Stay
16.92,16.0,3,0,true,Stay
16.25,9.7,4,0,true,Stay
13.19,11.6,4,1,true,Stay
10.96,13.2,5,2,true,Stay
12.92,17.6,5,0,false,Stay
13.24,11.8,4,0,false,Stay
12.17,16.5,3,0,true,Stay
15.79,19.2,4,0,true,Stay
16.05,21.5,3,0,true,Stay
17.35,12.2,5,0,true,Stay
18.0,13.5,2,1,true,Stay
10.73,24.7,4,0,false,Stay
13.64,21.2,2,2,true,Stay
16.55,11.8,2,2,true,Stay
17.02,13.2,2,0,false,Stay
12.62,11.0,5,0,false,Stay
11.51,26.9,2,0,false,Stay
13.76,22.4,4,0,true,Stay
13.26,21.6,3,0,false,Stay
15.3,16.3,3,2,true,Stay
11.97,10.4,3,0,true,Stay
17.19,17.3,2,0,true,Stay
14.89,19.3,4,0,false,Stay
16.58,21.2,3,0,true,Stay
17.29,19.0,2,2,false,Stay
15.91,17.4,4,0,true,Stay
13.24,15.7,4,1,false,Stay
14.3,15.3,5,0,true,Stay
15.38,13.6,3,1,false,Stay
13.58,12.4,4,0,true,Stay
18.27,16.9,5,1,true,Stay
13.84,14.3,2,0,false,Stay
12.6,15.4,2,1,true,Stay
17.89,12.7,3,0,true,Stay
18.43,9.3,2,0,true,Stay
13.07,18.9,2,0,false,Stay
10.91,15.2,3,0,true,Stay
11.49,13.4,4,2,true,Stay
18.45,0.0,2,3,true,Cancel
16.87,11.7,3,0,false,Stay
11.56,11.4,5,1,false,Stay
10.91,18.3,5,0,false,Stay
16.26,17.6,3,2,false,Stay
18.04,16.0,4,0,false,Stay
14.91,10.6,5,2,false,Stay
16.53,15.6,4,1,true,Stay
17.06,12.1,5,0,true,Stay
12.07,9.8,2,2,false,Stay
17.49,20.3,2,1,false,Stay
13.33,14.6,3,0,false,Stay
13.83,17.1,5,0,true,Stay
13.03,13.1,3,2,true,Stay
17.27,15.9,2,0,true,Stay
16.77,10.8,5,0,true,Stay
15.92,13.1,3,1,true,Stay
10.08,9.0,2,0,false,Stay
10.02,18.1,5,0,true,Stay
16.65,15.5,4,2,true,Stay
10.85,8.7,5,0,false,Stay
17.82,6.9,4,0,false,Stay
17.68,12.5,5,1,false,Stay
15.81,22.0,4,0,false,Stay
16.92,15.3,3,1,true,Stay
12.18,17.0,5,0,true,Stay
14.17,16.0,3,2,true,Stay
14.66,15.6,4,0,false,Stay
18.35,10.5,5,0,false,Stay
11.65,8.3,3,0,false,Stay
13.85,21.5,5,0,true,Stay
17.59,20.0,2,0,true,Stay
14.09,15.7,4,0,true,Stay
16.49,13.2,4,0,false,Stay
15.25,15.0,5,0,true,Stay
24.17,0.0,2,6,false,Cancel
14.09,13.7,3,1,false,Stay
15.01,11.0,5,2,true,Stay
17.26,10.9,3,1,false,Stay
15.22,12.9,5,1,false,Stay
17.02,13.9,3,0,false,Stay
17.51,16.2,4,0,false,Stay
14.41,21.9,3,0,true,Stay
12.65,22.2,3,2,true,Stay
18.32,15.0,5,1,true,Stay
13.13,14.7,5,0,false,Stay
10.19,16.8,4,0,true,Stay
14.69,14.3,3,0,true,Stay
11.03,10.8,3,1,false,Stay
15.06,1.5,2,4,true,Cancel
12.94,15.5,3,2,true,Stay
16.15,13.7,5,0,true,Stay
14.5,13.8,4,2,false,Stay
11.29,15.4,4,0,false,Stay
20.3,5.6,1,3,true,Cancel
16.18,19.6,5,2,false,Stay
16.43,11.6,5,1,false,Stay
17.32,3.7,2,4,false,Cancel
18.02,11.8,5,0,true,Stay
10.04,17.4,2,0,true,Stay
19.3,2.2,2,5,false,Cancel
16.77,19.5,5,2,false,Stay
16.97,15.4,5,2,false,Stay
16.05,9.7,2,1,false,Stay
16.13,16.3,5,0,true,Stay
17.28,12.8,3,0,false,Stay
16.91,16.4,2,0,false,Stay
15.63,12.7,2,0,true,Stay
11.28,12.2,4,0,false,Stay
11.86,19.9,5,2,true,Stay
15.54,2.6,1,3,false,Cancel
18.07,17.5,2,2,true,Stay
11.01,12.5,3,0,false,Stay
12.3,16.3,5,1,true,Stay
15.84,19.1,5,0,true,Stay
14.07,13.9,3,0,false,Stay
10.44,15.6,4,0,false,Stay
14.18,10.2,5,0,true,Stay
17.1,17.4,2,1,false,Stay
17.74,24.0,2,2,true,Stay
13.8,13.6,4,0,true,Stay
14.12,18.4,5,0,false,Stay
14.3,17.8,4,0,false,Stay
18.17,14.0,5,2,false,Stay
15.35,15.4,4,0,true,Stay
13.4,16.5,2,0,false,Stay
12.01,21.6,5,0,true,Stay
10.12,15.4,3,1,true,Stay
15.23,7.7,4,0,false,Stay
14.89,14.7,3,1,true,Stay
11.47,11.1,3,0,false,Stay
13.36,15.6,4,2,false,Stay
17.94,13.3,5,0,false,Stay
13.42,18.1,3,0,false,Stay
11.36,19.3,5,0,false,Stay
16.07,18.6,2,0,false,Stay
18.3,12.9,2,2,false,Stay
16.24,19.9,2,2,false,Stay
15.01,16.5,2,0,false,Stay
14.21,21.8,5,1,true,Stay
18.16,16.2,5,0,true,Stay
10.13,5.4,2,0,true,Stay
17.86,8.9,4,0,false,Stay
11.0,21.8,4,2,true,Stay
12.72,18.3,5,0,true,Stay
10.24,18.7,5,0,false,Stay
16.72,9.2,3,0,true,Stay
16.42,11.0,3,0,false,Stay
12.74,16.1,3,2,false,Stay
11.24,15.4,2,0,false,Stay
15.23,14.2,4,0,false,Stay
17.75,17.2,5,0,false,Stay
12.2,19.7,2,0,false,Stay
16.81,19.3,2,0,false,Stay
17.87,8.1,4,2,true,Stay
10.76,10.9,3,2,false,Stay
17.0,19.2,5,2,false,Stay
10.29,16.7,5,2,false,Stay
17.6,16.3,2,2,true,Stay
17.08,7.9,2,1,false,Stay
17.84,13.0,4,0,true,Stay
16.3,9.8,4,2,true,Stay
12.22,12.3,2,0,false,Stay
16.87,17.6,5,0,false,Stay
16.46,12.4,2,0,true,Stay
10.27,12.8,4,2,true,Stay
23.43,0.0,2,4,true,Cancel
10.0,12.7,4,0,true,Stay
13.23,18.3,3,0,true,Stay
15.74,13.1,3,0,false,Stay
17.29,22.9,3,0,false,Stay
14.05,17.0,3,0,true,Stay
14.33,9.9,2,0,true,Stay
15.92,18.2,5,0,false,Stay
11.35,16.1,2,2,true,Stay
17.59,13.9,2,2,true,Stay
12.71,18.8,5,2,false,Stay
10.0,17.5,4,0,true,Stay
13.01,13.5,5,1,false,Stay
17.57,19.2,3,0,true,Stay
15.84,19.5,2,0,true,Stay
15.95,23.5,4,2,false,Stay
16.84,17.7,2,0,true,Stay
24.33,2.1,2,5,false,Cancel
15.43,17.4,5,0,true,Stay
18.41,9.9,3,0,false,Stay
16.5,22.0,2,1,true,Stay
14.83,18.5,3,0,false,Stay
13.37,13.5,3,0,true,Stay
16.51,8.4,4,0,true,Stay
14.57,13.2,3,0,true,Stay
10.35,17.1,3,2,true,Stay
16.76,16.1,2,1,true,Stay
18.21,13.1,2,2,true,Stay
12.77,10.7,2,0,true,Stay
17.6,10.0,4,0,true,Stay
24.85,4.5,1,6,true,Cancel
10.77,10.3,4,2,true,Stay
15.5,5.5,2,6,true,Cancel
13.24,9.5,4,1,true,Stay
13.39,10.5,3,2,true,Stay
12.65,16.0,2,0,true,Stay
15.68,14.8,5,0,false,Stay
17.03,5.0,2,3,false,Cancel
16.61,14.8,2,0,true,Stay
13.76,10.9,3,0,true,Stay
13.18,15.0,4,2,true,Stay
16.34,15.8,5,0,true,Stay
11.99,17.6,5,1,false,Stay
12.82,16.6,3,2,false,Stay
20.45,1.4,2,4,false,Cancel
22.54,4.0,1,4,false,Cancel
16.69,14.8,4,2,false,Stay
17.0,10.9,2,0,false,Stay
14.45,9.1,2,0,true,Stay
18.35,10.9,3,0,false,Stay
14.38,8.2,3,0,false,Stay
17.18,15.8,3,1,false,Stay
13.65,7.4,4,0,true,Stay
14.4,17.3,3,0,false,Stay
14.15,19.7,4,0,true,Stay
11.01,15.7,3,1,true,Stay
17.58,13.3,4,1,true,Stay
10.95,21.9,5,2,true,Stay
16.24,11.1,4,1,false,Stay
15.22,18.9,3,0,false,Stay
12.31,14.6,4,0,false,Stay
